alpha,fold_id,error_rate,log_loss,auroc,step_size,did_converge,L1_norm_grad
100000.0000,1,0.1121,0.6452,0.9811,0.0050,1,0.0000
100000.0000,2,0.0903,0.6447,0.9840,0.0050,1,0.0000
100000.0000,3,0.0699,0.6438,0.9864,0.0050,1,0.0000
