alpha,fold_id,error_rate,log_loss,auroc,step_size,did_converge,L1_norm_grad
100.0000,1,0.0244,0.0941,0.9966,0.2500,1,0.0000
100.0000,2,0.0242,0.0947,0.9966,0.2500,1,0.0000
100.0000,3,0.0239,0.0946,0.9966,0.2500,1,0.0000
